Percentage served,Time in ms
0,14.989
1,164.967
2,168.433
3,169.520
4,170.116
5,170.541
6,170.842
7,171.150
8,171.399
9,171.625
10,171.828
11,172.030
12,172.200
13,172.377
14,172.568
15,172.729
16,172.894
17,173.044
18,173.199
19,173.345
20,173.488
21,173.619
22,173.762
23,173.908
24,174.053
25,174.202
26,174.329
27,174.444
28,174.563
29,174.679
30,174.802
31,174.932
32,175.091
33,175.230
34,175.371
35,175.526
36,175.677
37,175.813
38,175.949
39,176.103
40,176.250
41,176.421
42,176.578
43,176.748
44,176.937
45,177.131
46,177.315
47,177.514
48,177.729
49,177.969
50,178.201
51,178.451
52,178.681
53,178.899
54,179.192
55,179.520
56,179.803
57,180.119
58,180.443
59,180.790
60,181.214
61,181.571
62,181.912
63,182.374
64,182.769
65,183.304
66,183.844
67,184.344
68,184.873
69,185.456
70,186.257
71,186.899
72,187.874
73,188.910
74,189.905
75,191.356
76,193.380
77,195.538
78,197.333
79,198.972
80,200.229
81,200.984
82,201.788
83,202.273
84,202.778
85,203.432
86,203.975
87,204.613
88,205.312
89,206.095
90,206.793
91,207.624
92,208.884
93,210.505
94,212.462
95,214.497
96,217.153
97,220.053
98,223.515
99,229.824
100,239.854
