starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:03:48 2024	1712707428	0	15	16	2
Wed Apr 10 00:03:48 2024	1712707428	2	22	24	6
Wed Apr 10 00:03:48 2024	1712707428	2	25	26	11
Wed Apr 10 00:03:48 2024	1712707428	2	25	26	12
Wed Apr 10 00:03:48 2024	1712707428	2	26	28	16
Wed Apr 10 00:03:48 2024	1712707428	2	28	29	13
Wed Apr 10 00:03:48 2024	1712707428	2	28	29	16
Wed Apr 10 00:03:48 2024	1712707428	2	28	30	16
Wed Apr 10 00:03:48 2024	1712707428	2	30	31	16
Wed Apr 10 00:03:48 2024	1712707428	2	33	34	20
Wed Apr 10 00:03:48 2024	1712707428	2	33	34	19
Wed Apr 10 00:03:48 2024	1712707428	2	35	37	23
Wed Apr 10 00:03:48 2024	1712707428	2	36	37	22
Wed Apr 10 00:03:48 2024	1712707428	2	39	40	27
Wed Apr 10 00:03:48 2024	1712707428	2	39	40	25
Wed Apr 10 00:03:48 2024	1712707428	2	40	42	28
Wed Apr 10 00:03:48 2024	1712707428	2	42	44	28
Wed Apr 10 00:03:48 2024	1712707428	2	44	45	31
Wed Apr 10 00:03:48 2024	1712707428	2	44	46	33
Wed Apr 10 00:03:48 2024	1712707428	2	45	47	30
Wed Apr 10 00:03:48 2024	1712707428	2	47	48	35
Wed Apr 10 00:03:48 2024	1712707428	2	49	50	37
Wed Apr 10 00:03:48 2024	1712707428	2	50	51	39
Wed Apr 10 00:03:48 2024	1712707428	2	50	52	38
Wed Apr 10 00:03:48 2024	1712707428	2	52	53	40
Wed Apr 10 00:03:48 2024	1712707428	2	53	55	42
Wed Apr 10 00:03:48 2024	1712707428	2	53	55	40
Wed Apr 10 00:03:48 2024	1712707428	2	56	58	43
Wed Apr 10 00:03:48 2024	1712707428	2	56	58	44
Wed Apr 10 00:03:48 2024	1712707428	2	58	59	47
Wed Apr 10 00:03:48 2024	1712707428	2	59	61	47
Wed Apr 10 00:03:48 2024	1712707428	2	61	63	48
Wed Apr 10 00:03:48 2024	1712707428	2	62	64	47
Wed Apr 10 00:03:48 2024	1712707428	2	63	64	50
Wed Apr 10 00:03:48 2024	1712707428	2	64	66	52
Wed Apr 10 00:03:48 2024	1712707428	1	65	67	53
Wed Apr 10 00:03:48 2024	1712707428	1	67	68	56
Wed Apr 10 00:03:48 2024	1712707428	1	69	71	58
Wed Apr 10 00:03:48 2024	1712707428	1	72	74	61
Wed Apr 10 00:03:48 2024	1712707428	1	73	74	59
Wed Apr 10 00:03:48 2024	1712707428	1	73	74	59
Wed Apr 10 00:03:48 2024	1712707428	1	74	75	62
Wed Apr 10 00:03:48 2024	1712707428	1	75	77	63
Wed Apr 10 00:03:48 2024	1712707428	1	78	80	65
Wed Apr 10 00:03:48 2024	1712707428	1	81	83	68
Wed Apr 10 00:03:48 2024	1712707428	1	81	83	69
Wed Apr 10 00:03:48 2024	1712707428	1	81	83	67
Wed Apr 10 00:03:48 2024	1712707428	1	85	87	71
Wed Apr 10 00:03:48 2024	1712707428	1	87	88	76
Wed Apr 10 00:03:48 2024	1712707428	1	87	89	74
Wed Apr 10 00:03:48 2024	1712707428	1	88	90	77
Wed Apr 10 00:03:48 2024	1712707428	1	90	91	78
Wed Apr 10 00:03:48 2024	1712707428	1	91	92	79
Wed Apr 10 00:03:48 2024	1712707428	1	95	96	81
Wed Apr 10 00:03:48 2024	1712707428	1	96	98	86
Wed Apr 10 00:03:48 2024	1712707428	1	96	98	83
Wed Apr 10 00:03:48 2024	1712707428	1	98	99	82
Wed Apr 10 00:03:48 2024	1712707428	1	101	102	90
Wed Apr 10 00:03:48 2024	1712707428	1	101	102	90
Wed Apr 10 00:03:48 2024	1712707428	1	101	103	87
Wed Apr 10 00:03:48 2024	1712707428	1	103	104	91
Wed Apr 10 00:03:48 2024	1712707428	1	103	104	91
Wed Apr 10 00:03:48 2024	1712707428	1	103	104	87
Wed Apr 10 00:03:48 2024	1712707428	1	106	107	93
Wed Apr 10 00:03:48 2024	1712707428	1	108	109	95
Wed Apr 10 00:03:48 2024	1712707428	1	108	109	98
Wed Apr 10 00:03:48 2024	1712707428	1	108	109	96
Wed Apr 10 00:03:48 2024	1712707428	1	110	111	98
Wed Apr 10 00:03:48 2024	1712707428	1	113	114	98
Wed Apr 10 00:03:48 2024	1712707428	1	113	115	100
Wed Apr 10 00:03:48 2024	1712707428	1	114	115	101
Wed Apr 10 00:03:48 2024	1712707428	1	114	115	103
Wed Apr 10 00:03:48 2024	1712707428	1	116	117	104
Wed Apr 10 00:03:48 2024	1712707428	1	119	120	106
Wed Apr 10 00:03:48 2024	1712707428	1	119	120	108
Wed Apr 10 00:03:48 2024	1712707428	1	121	122	108
Wed Apr 10 00:03:48 2024	1712707428	1	122	123	111
Wed Apr 10 00:03:48 2024	1712707428	1	122	123	109
Wed Apr 10 00:03:48 2024	1712707428	1	124	125	112
Wed Apr 10 00:03:48 2024	1712707428	1	124	125	113
Wed Apr 10 00:03:48 2024	1712707428	1	127	128	115
Wed Apr 10 00:03:48 2024	1712707428	1	129	130	119
Wed Apr 10 00:03:48 2024	1712707428	1	129	130	117
Wed Apr 10 00:03:48 2024	1712707428	1	131	132	119
Wed Apr 10 00:03:48 2024	1712707428	1	132	133	120
Wed Apr 10 00:03:48 2024	1712707428	1	135	136	122
Wed Apr 10 00:03:48 2024	1712707428	1	135	136	124
Wed Apr 10 00:03:48 2024	1712707428	1	138	139	125
Wed Apr 10 00:03:48 2024	1712707428	1	138	139	126
Wed Apr 10 00:03:48 2024	1712707428	1	139	141	128
Wed Apr 10 00:03:48 2024	1712707428	1	140	141	129
Wed Apr 10 00:03:48 2024	1712707428	1	145	146	132
Wed Apr 10 00:03:48 2024	1712707428	1	145	146	131
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	133
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	135
Wed Apr 10 00:03:48 2024	1712707428	1	154	155	136
Wed Apr 10 00:03:48 2024	1712707428	1	157	158	139
Wed Apr 10 00:03:48 2024	1712707428	1	157	158	141
Wed Apr 10 00:03:48 2024	1712707428	1	160	161	137
